price,calories,category,product
11.99,n/a,party-packs,Taco and Burrito Party Pack
1.89,0 Cal,drinks,Diet Pepsi®
1.89,0 Cal,drinks,Pepsi® Zero Sugar
1.89,0 Cal,drinks,Lipton® Unsweetened Iced Tea
0.00,0 Cal,drinks,Cup of Water
1.00,0-280 Cal,drinks,Happier Hour® Beverage
1.89,0-420 Cal,drinks,Fountain Drink
1.49,10 Cal,drinks,Regular Iced Coffee
1.49,10 Cal,drinks,Premium Hot Coffee
1.89,100-180 Cal,drinks,Brisk® Mango Fiesta
2.69,120-150 Cal,drinks,Blue Raspberry Freeze
7.00,1210-1490 Cal,deals-and-combos,Deluxe Box
1.99,140 Cal,drinks,Orange Juice
2.69,140-180 Cal,drinks,Electric Blue Raspberry Freeze
1.00,160 Cal,breakfast,Cinnabon Delights® 2 Pack
1.00,160 Cal,breakfast,Hash Brown
2.69,160-210 Cal,drinks,Strawberry Skittles® Freeze
1.29,170 Cal,tacos,Crunchy Taco
1.89,170 Cal,tacos,Nacho Cheese Doritos® Locos Tacos
2.19,170 Cal,tacos,Chicken Soft Taco
1.00,170 Cal,sweets,Cinnamon Twists
1.49,170 Cal,vegetarian,Black Beans and Rice
13.99,170 Cal  Per Item,party-packs,Taco Party Pack
15.99,170 Cal  Per Item,party-packs,Variety Taco Party Pack
1.00,180 Cal,vegetarian,Cheesy Roll Up
1.29,180 Cal,tacos,Soft Taco
1.59,180 Cal,sides,Chips and Pico De Gallo
1.00,180 Cal,breakfast,Mini Skillet Bowl
13.99,180 Cal  Per Item,party-packs,Soft Taco Party Pack 12
2.69,180-230 Cal,drinks,Mountain Dew® Baja Blast™ Freeze
1.00,190 Cal,vegetarian,Spicy Tostada
1.79,190 Cal,tacos,Crunchy Taco Supreme®
2.39,190 Cal,tacos,Nacho Cheese Doritos® Locos Tacos Supreme®
15.99,190 Cal  Per Item,party-packs,Supreme® Taco Party Pack
17.99,190 Cal  Per Item,party-packs,Supreme® Variety Taco Party Pack
2.89,200 Cal,tacos,Grilled Steak Soft Taco
1.89,200-380 Cal,drinks,Pepsi®
1.89,200-380 Cal,drinks,Sierra Mist®
9.99,2060 Cal,party-packs,Nachos Party Pack
1.79,210 Cal,tacos,Soft Taco Supreme®
15.99,210 Cal  Per Item,party-packs,Supreme® Soft Taco Party Pack
1.89,210-390 Cal,drinks,Tropicana® Pink Lemonade
1.69,220 Cal,sides,Chips and Nacho Cheese Sauce
1.89,220-410 Cal,drinks,Mountain Dew®
1.89,220-420 Cal,drinks,Mountain Dew® Baja Blast™
1.00,230 Cal,cravings-value-menu,Spicy Potato Soft Taco
1.59,230 Cal,sides,Chips and Guacamole
1.59,230 Cal,sides,Cheesy Fiesta Potatoes
1.00,230 Cal,breakfast,Breakfast Soft Taco
1.89,30-50 Cal,drinks,G2 Gatorade® Fruit Punch
1.00,310 Cal,cravings-value-menu,Nacho Crunch Double Stacked Taco
1.00,310 Cal,cravings-value-menu,Chipotle Cheddar Double Stacked Taco
1.00,310 Cal,cravings-value-menu,Reaper Ranch Double Stacked Taco
1.00,310 Cal,cravings-value-menu,Shredded Chicken Quesadilla Melt
1.00,320 Cal,cravings-value-menu,Triple Layer Nachos
1.00,330 Cal,breakfast,Sausage Flatbread Quesadilla
1.99,340 Cal,burritos,Cheesy Potato Griller
1.00,340 Cal,breakfast,Grilled Breakfast Burrito Fiesta Potato
2.99,350 Cal,tacos,Chalupa Supreme
1.29,350 Cal,vegetarian,Bean Burrito
1.00,350 Cal,breakfast,Grilled Breakfast Burrito
1.99,370 Cal,burritos,Beefy Nacho Griller
3.49,390 Cal,burritos,Burrito Supreme®
1.00,410 Cal,vegetarian,Cheesy Bean and Rice Burrito
2.49,420 Cal,burritos,Shredded Chicken Burrito
3.29,420 Cal,vegetarian,7-Layer Burrito
5.49,430 Cal,vegetarian,Power Menu Bowl - Veggie
2.99,430 Cal,nachos,Nachos Supreme
1.00,440 Cal,cravings-value-menu,Beefy Fritos® Burrito
2.99,450 Cal,vegetarian,Cheese Quesadilla
5.49,480 Cal,power-menu,Power Menu Bowl
2.39,490 Cal,burritos,Beefy 5-Layer Burrito
1.89,5-15 Cal,drinks,Mountain Dew® Baja Blast® Zero Sugar
1.49,50 Cal,sides,Black Beans
3.59,500 Cal,tacos,Cheesy Gordita Crunch
3.99,500 Cal,quesadillas,Steak Quesadilla
3.79,500 Cal,quesadillas,Chicken Quesadilla
3.69,510 Cal,vegetarian,Black Bean Crunchwrap Supreme
2.29,510 Cal,breakfast,Breakfast Quesadilla
5.79,510-930 Cal,tacos,3 Crunchy Tacos Combo
3.69,530 Cal,burritos,Crunchwrap Supreme®
3.89,530 Cal,specialties,Mexican Pizza
5.79,540-960 Cal,deals-and-combos,3 Soft Tacos Combo
6.59,570-990 Cal,tacos,3 Crunchy Tacos Supreme® Combo
6.29,580-1000 Cal,deals-and-combos,Burrito Supreme® Combo
3.19,630 Cal,vegetarian,Black Bean Quesarito
6.59,630-1050 Cal,deals-and-combos,3 Soft Tacos Supreme® Combo
3.19,650 Cal,quesadillas,Quesarito
2.79,650 Cal,breakfast,Breakfast Crunchwrap®
2.79,650 Cal,breakfast,Grande Scrambler
6.59,670-1090 Cal,quesadillas,Chicken Quesadilla Combo
4.39,670-950 Cal,breakfast,Breakfast Quesadilla Combo
1.00,70 Cal,breakfast,Mountain Dew® Kickstart™ Orange Citrus - Small
1.89,70-130 Cal,drinks,Mountain Dew® Kickstart™ Orange Citrus
6.69,700-1120 Cal,deals-and-combos,Crunchwrap Supreme® Combo
5.59,740 Cal,tacos,Fiesta Taco Salad
3.69,740 Cal,nachos,Nachos BellGrande®
6.69,800-1220 Cal,deals-and-combos,Steak Quesarito Combo
4.99,810-1090 Cal,breakfast,Breakfast Crunchwrap® Combo
4.99,810-1090 Cal,breakfast,Grande Scrambler Combo
5.00,830-1110 Cal,deals-and-combos,Chalupa Box
8.19,830-1250 Cal,deals-and-combos,2 Chicken Chalupas Supreme® Combo
6.89,840-1260 Cal,deals-and-combos,Cheesy Gordita Crunch Combo
7.19,910-1330 Cal,deals-and-combos,Mexican Pizza Combo
4.99,930 Cal,breakfast,Cinnabon Delights® 12 Pack
6.69,930-1350 Cal,nachos,Nachos BellGrande® Combo
